,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,1.6710348114467092e-09,4.0878292667951645e-05,4.046400214525191e-05,inf,2.0,1.0
1,39 days,1.358903497677813e-09,3.6863308284496295e-05,3.495613679797195e-05,inf,2.0,1.0
2,46 days,1.3860082689819566e-09,3.7229131993399425e-05,3.5383153608589536e-05,inf,2.0,1.0
3,53 days,2.033792989945562e-09,4.5097594059390376e-05,4.150571604213463e-05,inf,2.0,1.0
4,60 days,2.600044593999968e-09,5.0990632414199064e-05,4.6328681063245305e-05,inf,2.0,1.0
5,67 days,2.888591736643989e-09,5.37456206275822e-05,4.90918960425997e-05,inf,2.0,1.0
6,74 days,3.5315866964915664e-09,5.9427154538069264e-05,5.78871491138441e-05,inf,2.0,1.0
7,81 days,4.530332974126051e-09,6.730774824733071e-05,6.690807245656625e-05,inf,2.0,1.0
8,88 days,5.652443952024339e-09,7.518273706127185e-05,7.352766337579279e-05,inf,2.0,1.0
9,95 days,7.111410774104592e-09,8.432918103541971e-05,8.155829068521816e-05,inf,2.0,1.0
10,102 days,8.16441880558197e-09,9.035717351479056e-05,8.84534757446516e-05,inf,2.0,1.0
11,109 days,8.17794143207321e-09,9.043197129374772e-05,8.856840741201283e-05,inf,2.0,1.0
12,116 days,7.535736233486224e-09,8.680861842862276e-05,8.368017852261868e-05,inf,2.0,1.0
13,123 days,6.365868248557682e-09,7.978639137445484e-05,7.670589194992831e-05,inf,2.0,1.0
14,130 days,4.596732669218555e-09,6.779920847044275e-05,6.628108757673415e-05,inf,2.0,1.0
15,137 days,3.115572518628001e-09,5.5817313789074454e-05,5.4922405270834036e-05,inf,2.0,1.0
16,144 days,2.448571829199376e-09,4.948304587633401e-05,4.56268693310004e-05,inf,2.0,1.0
17,151 days,2.4757390468353506e-09,4.975679900109482e-05,4.5877970653209516e-05,inf,2.0,1.0
18,158 days,3.1830533711266775e-09,5.641855520240373e-05,5.04237602825386e-05,inf,2.0,1.0
19,165 days,4.0666025144686065e-09,6.376991857034637e-05,5.64128697047402e-05,inf,2.0,1.0
20,172 days,5.0154299405680014e-09,7.081970022930061e-05,6.467099864590764e-05,inf,2.0,1.0
21,179 days,6.209049959520344e-09,7.879752508499454e-05,7.77993699612013e-05,inf,2.0,1.0
22,186 days,6.246901680186688e-09,7.903734358002354e-05,7.813991477583903e-05,inf,2.0,1.0
23,193 days,4.78294307398256e-09,6.915882498989236e-05,6.53284215647522e-05,inf,2.0,1.0
24,200 days,3.296862953890781e-09,5.741831549158144e-05,5.179379340255761e-05,inf,2.0,1.0
25,207 days,2.2455423843131488e-09,4.73871542120135e-05,4.197848218797768e-05,inf,2.0,1.0
26,214 days,1.3132151078313147e-09,3.623830994722732e-05,3.39805791541932e-05,inf,2.0,1.0
27,221 days,1.0951018832648876e-09,3.309232363048699e-05,3.184598621023586e-05,inf,2.0,1.0
28,228 days,1.6792886979818827e-09,4.097912514905464e-05,3.8743268933066576e-05,inf,2.0,1.0
29,235 days,2.2442457389802534e-09,4.7373470835270805e-05,4.5964763529748144e-05,inf,2.0,1.0
30,242 days,2.8699823546621123e-09,5.357221625676982e-05,5.276402883055713e-05,inf,2.0,1.0
31,249 days,3.0444142992572774e-09,5.517621135287632e-05,5.4777149123669916e-05,inf,2.0,1.0
32,256 days,3.1238418493453817e-09,5.5891339663183794e-05,5.560746983224339e-05,inf,2.0,1.0
33,263 days,2.903985041959537e-09,5.388863555481375e-05,5.35924585619537e-05,inf,2.0,1.0
34,270 days,2.716871698000124e-09,5.2123619386993106e-05,5.1818362785147203e-05,inf,2.0,1.0
35,277 days,2.3269623903259093e-09,4.8238598552672624e-05,4.8207087797698475e-05,inf,2.0,1.0
36,284 days,2.327307944062606e-09,4.8242180133806204e-05,4.821066011354517e-05,inf,2.0,1.0
37,291 days,2.2735531679913603e-09,4.768179073809372e-05,4.765672007403252e-05,inf,2.0,1.0
38,298 days,2.152533008999545e-09,4.639539857571594e-05,4.634828414853569e-05,inf,2.0,1.0
39,305 days,1.9660024650961545e-09,4.433962635268992e-05,4.4172210318323395e-05,inf,2.0,1.0
40,312 days,1.7860382637237217e-09,4.22615459220758e-05,4.1877992931138805e-05,inf,2.0,1.0
41,319 days,1.480586452355094e-09,3.847838941997305e-05,3.7905130236779305e-05,inf,2.0,1.0
42,326 days,1.188940869836406e-09,3.448102187923679e-05,3.4004436281744186e-05,inf,2.0,1.0
43,333 days,9.241285677284752e-10,3.0399483017454018e-05,2.998235729496018e-05,inf,2.0,1.0
44,340 days,7.051749829920062e-10,2.655513101063533e-05,2.5993829560705668e-05,inf,2.0,1.0
45,347 days,5.4060025683144e-10,2.325081196069161e-05,2.2751651597407676e-05,inf,2.0,1.0
46,354 days,4.864849307328615e-10,2.205640339522429e-05,2.1706881555328538e-05,inf,2.0,1.0
47,361 days,4.71212026236857e-10,2.170741869124141e-05,2.1423240779209272e-05,inf,2.0,1.0
