,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.004515696536064305,0.06719893255152425,0.06687723258341052,0.06908043624632106,0.07281659432318335,0.07157561346343395,1.0
1,39 days,0.004670369328619805,0.06834010044344246,0.06811641451598072,0.07021635597930434,0.07281659432318335,0.07278832638712873,1.0
2,46 days,0.004559319951492169,0.06752273655215826,0.0671266434505974,0.06902817104522244,0.07281659432318335,0.0715282496907473,1.0
3,53 days,0.004062773728621544,0.0637398911877134,0.06311836133410305,0.06489267393473278,0.06719670630833637,0.06711652238724419,1.0
4,60 days,0.0037610171237783385,0.06132713203614154,0.06091271185475904,0.06247488078788047,0.06418411274374429,0.06451952411294659,1.0
5,67 days,0.00369853446955084,0.06081557752377954,0.06046318259235353,0.061875627282378685,0.06418411274374429,0.063875132633323,1.0
6,74 days,0.003619357310934897,0.06016109466203966,0.05984422214574796,0.06124070303153034,0.06402208505409471,0.06319640762609027,1.0
7,81 days,0.003398874090608413,0.05829986355565863,0.05754110683040707,0.05899448421492016,0.06402208505409471,0.06083518985912903,1.0
8,88 days,0.003417778056020627,0.058461765762082715,0.05772158968049634,0.059140066170750495,0.06402208505409471,0.06098890382816062,1.0
9,95 days,0.0038633945188838144,0.06215621062197899,0.06087024818317602,0.06211145397278171,0.06402208505409471,0.06418512772207495,1.0
10,102 days,0.003787369746215223,0.06154160987669418,0.060302515421338104,0.06157873678630541,0.06402208505409471,0.06361396175153138,1.0
11,109 days,0.003735484740972504,0.061118612066804204,0.05987969146048662,0.06111968043779276,0.06172680331153142,0.06312462188376035,1.0
12,116 days,0.004063706429432805,0.06374720722849593,0.06314428053841206,0.0642913427758603,0.06172680331153142,0.06646661318195124,1.0
13,123 days,0.004293914770673063,0.0655279693770001,0.0651356929040779,0.06625956131694605,0.06382739408876156,0.06855611784998716,1.0
14,130 days,0.004409535811195857,0.0664043357861206,0.06585444814073071,0.06707272858834862,0.06382739408876156,0.06943944972318317,1.0
