,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.002755708690010587,0.05249484441362396,0.050080816379872294,0.05155222987998423,0.04845944444065285,0.05304861898152902,1.0
1,39 days,0.002983626933739354,0.054622586296690076,0.05241669127281117,0.053694478206543245,0.05547413335197933,0.05530242558946891,1.0
2,46 days,0.002691665398361444,0.05188126249775967,0.05022381992805294,0.051398513786152115,0.05547413335197933,0.05284334119760767,1.0
3,53 days,0.0025760182982014677,0.05075449042401537,0.049248943251599904,0.050261420257599915,0.05547413335197933,0.051634081615336426,1.0
4,60 days,0.0030899067351628034,0.05558692953530356,0.055398080215526724,0.05627386724172402,0.05775103152567642,0.05791357042951355,1.0
5,67 days,0.0032965336657107395,0.05741544797100114,0.05737764643936612,0.05817537131572838,0.05796143281301611,0.05992045806557799,1.0
6,74 days,0.0032555622269011377,0.05705753435700791,0.05699596261475069,0.057842407151900775,0.05796143281301611,0.059568526379271194,1.0
7,81 days,0.002890240470655296,0.0537609567498133,0.05350796689811761,0.054502733081882186,0.05775103152567642,0.056043137140610835,1.0
8,88 days,0.002934530751021169,0.05417130929764546,0.0538908769547065,0.054886337685597496,0.05796143281301611,0.05645029525306176,1.0
9,95 days,0.0028193244630300603,0.05309731125989395,0.05283426265497142,0.05390557279446327,0.0538093125328413,0.055412733509051404,1.0
10,102 days,0.002166597915863464,0.04654672830461303,0.04162716062415015,0.042550449103793506,0.053057608357344986,0.04371170529900789,1.0
11,109 days,0.0018782887733248483,0.043339229034730746,0.03839829586284156,0.03946401732758942,0.045024923727202446,0.04047788582638854,1.0
12,116 days,0.0026248025087108225,0.05123282647591115,0.04468560438227585,0.04569146057216158,0.053057608357344986,0.04710096699199223,1.0
13,123 days,0.002966588706365327,0.05446639979258155,0.047301423916479714,0.048390899649250745,0.053057608357344986,0.04998907524081582,1.0
14,130 days,0.00343114830921513,0.058576004551481056,0.05108807174649042,0.05223850697268096,0.07229564497449605,0.05408976774335051,1.0
15,137 days,0.004441760376007761,0.06664653311319173,0.06508608908992368,0.06674772931846562,0.0731662499296988,0.06916338303286483,1.0
16,144 days,0.006533290955861198,0.08082877554349811,0.07949260839843493,0.08151487235327412,0.07373745808624917,0.08511438397323072,1.0
17,151 days,0.009717797526365375,0.09857888986170099,0.09384245481277534,0.09682291432937012,0.07373745808624917,0.10234394809982243,1.0
18,158 days,0.013993365424576711,0.11829355614139221,0.11205256539532325,0.11703369109606371,0.11221286882586327,0.12532396470694568,1.0
19,165 days,0.01901527179902976,0.13789587303117434,0.1326030486522864,0.1405944613814957,0.15270234983054334,0.15233581579840827,0.8
20,172 days,0.024411172998035687,0.15624075332011073,0.15418032825634492,0.16611240102670732,0.17422013376316667,0.1817961683725139,0.6000000000000001
21,179 days,0.030980266298073083,0.17601211974768408,0.17471583174436595,0.1912103229214528,0.19009949640165605,0.2119724346314094,0.4
22,186 days,0.03604969877075614,0.18986758220074362,0.18866524355095965,0.21132367865256446,0.20132715631230738,0.23690584312420304,0.2
23,193 days,0.04195010882123808,0.20481725713727855,0.20342883940908915,0.23307701596158714,0.2377024782995905,0.2646622882155843,0.0
24,200 days,0.048852065590137446,0.2210250338539448,0.21956277229071308,0.25725961503486533,0.25326912848610167,0.29630559258381906,0.0
25,207 days,0.05771449252674648,0.24023840768442184,0.2390283343034397,0.28630626083518,0.28298682030827993,0.3353730784605088,0.0
26,214 days,0.07282070641888667,0.26985312008366086,0.2661032361964656,0.3240894791308554,0.3110124917680471,0.3898792511937097,0.0
27,221 days,0.09171982247571314,0.30285280661686653,0.2979941690052325,0.36906695620489494,0.3465603853138807,0.45755905583719314,0.0
28,228 days,0.10631214200762461,0.32605542781500296,0.3224814652240272,0.4114548798203688,0.4266185697779676,0.5231691677680202,0.0
29,235 days,0.10641090710338756,0.32620684711297454,0.3226753388151927,0.43834959322742945,0.4454860588033501,0.5641429309793367,0.0
30,242 days,0.09460991550272937,0.3075872486022939,0.29375082455177876,0.43189435649646013,0.4454860588033501,0.5548789112919633,0.2
31,249 days,0.08063277443296751,0.28395910697311244,0.269268338771129,0.4323008066562891,0.4454860588033501,0.5555365094178074,0.2
32,256 days,0.05417477027068708,0.23275474274585056,0.21315356757418263,0.38939018299291916,0.4286508205771125,0.49058250951990523,0.4
33,263 days,0.029740255569748263,0.17245363310104042,0.1578524177752053,0.3419123255919635,0.31428420165903437,0.4181672904355327,0.6000000000000001
34,270 days,0.02433607925190265,0.1560002540123017,0.14585400731223971,0.34160359560891457,0.31428420165903437,0.417656763673905,0.6000000000000001
35,277 days,0.03825142370588435,0.19557971189743673,0.17848060125173254,0.38366421519691607,0.4286508205771125,0.4853020878976256,0.4
36,284 days,0.043907750817564394,0.20954176389818902,0.1896913500261954,0.39640811102439943,0.44394240888810566,0.5068197367785701,0.4
37,291 days,0.0771236012087319,0.27771136312497535,0.25431088195070783,0.4570524303352816,0.49237029971452895,0.6042966937574082,0.2
38,298 days,0.11789122374417077,0.34335291427942005,0.32957511112867127,0.5181215271330043,0.5245872995990422,0.7018463456735808,0.0
39,305 days,0.1417627402123669,0.3765139309671913,0.36989693318901024,0.5247872874165366,0.5245872995990422,0.7130991678830025,0.0
40,312 days,0.14543233074798287,0.38135591086016074,0.3758226552172904,0.4935479002283067,0.49237029971452895,0.6611913564789881,0.0
41,319 days,0.13702678740316507,0.3701712946774305,0.35799366894952467,0.4380161066470539,0.47727121030576664,0.5786638812027407,0.0
42,326 days,0.10491140962741718,0.323900308161967,0.29846053108526444,0.35065382489843244,0.36839036365789274,0.4482732818101022,0.2
43,333 days,0.06289549697481447,0.2507897465504012,0.21153184647085688,0.24351626557136613,0.21471133180826518,0.2971173107989019,0.4
44,340 days,0.03140997129388081,0.17722858486677823,0.13336922905542875,0.149418823780557,0.130013583350753,0.17309691341675826,0.6000000000000001
45,347 days,0.010681155844267013,0.10334967752376886,0.07653361193573158,0.08436885078469589,0.04314049867858715,0.09160186820212785,0.8
46,354 days,0.0036271671783508594,0.06022596764146558,0.04543034626621898,0.04907541896686823,0.038244172719126925,0.051293011392393076,1.0
