,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,3.5993560372638484e-164,1.8971968894302584e-82,1.897163768529051e-82,inf,2.0,1.0
1,39 days,3.629937562331122e-164,1.9052395026166978e-82,1.9052045051692442e-82,inf,2.0,1.0
2,46 days,3.662231787734868e-164,1.9136958451475166e-82,1.913659283046899e-82,inf,2.0,1.0
3,53 days,3.695076859696437e-164,1.9222582708097362e-82,1.9222184037965513e-82,inf,2.0,1.0
4,60 days,3.728924983702782e-164,1.931042460357302e-82,1.9309990616976883e-82,inf,2.0,1.0
5,67 days,3.764569322891866e-164,1.9402498094038987e-82,1.940205689467664e-82,inf,2.0,1.0
6,74 days,3.800965324139723e-164,1.9496064536566664e-82,1.9495612537126554e-82,inf,2.0,1.0
7,81 days,3.838763483668631e-164,1.959276265274663e-82,1.9592276887014462e-82,inf,2.0,1.0
8,88 days,3.8777563659822565e-164,1.969201961704857e-82,1.9691499402509104e-82,inf,2.0,1.0
9,95 days,3.917842325724107e-164,1.9793540172804123e-82,1.9792995641980152e-82,inf,2.0,1.0
10,102 days,3.959070127273689e-164,1.9897412211827168e-82,1.9896855554728998e-82,inf,2.0,1.0
11,109 days,4.0027963280882595e-164,2.0006989598858344e-82,2.000639417488626e-82,inf,2.0,1.0
12,116 days,4.048444740911525e-164,2.0120747354190214e-82,2.0120076911873815e-82,inf,2.0,1.0
13,123 days,4.097601963557559e-164,2.0242534336286943e-82,2.024174455556334e-82,inf,2.0,1.0
14,130 days,4.149346831433336e-164,2.0369945585183423e-82,2.0369072222666258e-82,inf,2.0,1.0
15,137 days,4.205625909054704e-164,2.0507622751198405e-82,2.0506664303465388e-82,inf,2.0,1.0
16,144 days,4.261597583576985e-164,2.0643637236632948e-82,2.0642694950928692e-82,inf,2.0,1.0
17,151 days,4.319859261822178e-164,2.078427112463215e-82,2.0783335876814383e-82,inf,2.0,1.0
18,158 days,4.378853290768999e-164,2.0925709762798965e-82,2.0924746435024465e-82,inf,2.0,1.0
19,165 days,4.437975832493435e-164,2.1066503821216836e-82,2.1065581612067208e-82,inf,2.0,1.0
20,172 days,4.498115060545491e-164,2.1208760125347947e-82,2.120774919978019e-82,inf,2.0,1.0
21,179 days,4.5640208909276654e-164,2.1363569203032682e-82,2.1362457484302426e-82,inf,2.0,1.0
22,186 days,4.623777612237067e-164,2.1502970985975558e-82,2.1501988956873325e-82,inf,2.0,1.0
23,193 days,4.683600762677565e-164,2.1641628318307208e-82,2.1640728563325188e-82,inf,2.0,1.0
24,200 days,4.7447910501020506e-164,2.1782541289073804e-82,2.1781754904851152e-82,inf,2.0,1.0
25,207 days,4.803861554793764e-164,2.1917713281256703e-82,2.191696319065164e-82,inf,2.0,1.0
26,214 days,4.859086323489199e-164,2.204333532723485e-82,2.2042470763446946e-82,inf,2.0,1.0
27,221 days,4.91945912561444e-164,2.2179853754284403e-82,2.2179038586576954e-82,inf,2.0,1.0
28,228 days,4.9774810549660355e-164,2.231026905926066e-82,2.2309527122206942e-82,inf,2.0,1.0
29,235 days,5.036436890271345e-164,2.2442007241491e-82,2.2441262962388265e-82,inf,2.0,1.0
30,242 days,5.094564233902272e-164,2.25711413843037e-82,2.257040534229479e-82,inf,2.0,1.0
31,249 days,5.148915273346563e-164,2.2691221371593385e-82,2.2690572527962212e-82,inf,2.0,1.0
32,256 days,5.200489327941824e-164,2.2804581399231655e-82,2.2804028540452542e-82,inf,2.0,1.0
33,263 days,5.250763436870111e-164,2.2914544370050458e-82,2.2914114549559862e-82,inf,2.0,1.0
34,270 days,5.294778686881282e-164,2.3010386104716457e-82,2.3010026497125167e-82,inf,2.0,1.0
35,277 days,5.333387265717233e-164,2.3094127534326193e-82,2.309382163128298e-82,inf,2.0,1.0
36,284 days,5.370503661356338e-164,2.317434715662199e-82,2.317410494052138e-82,inf,2.0,1.0
37,291 days,5.4060037058307406e-164,2.3250814406877754e-82,2.3250601987646714e-82,inf,2.0,1.0
38,298 days,5.440932728121995e-164,2.332580701309602e-82,2.332556777120054e-82,inf,2.0,1.0
39,305 days,5.477532040743268e-164,2.3404127928088388e-82,2.340383463794291e-82,inf,2.0,1.0
40,312 days,5.515218376203478e-164,2.3484502073076785e-82,2.3484196579185667e-82,inf,2.0,1.0
41,319 days,5.554835227445222e-164,2.356869794334261e-82,2.356839073480067e-82,inf,2.0,1.0
42,326 days,5.595295637266072e-164,2.3654377263555413e-82,2.3654079253293402e-82,inf,2.0,1.0
43,333 days,5.635646687257238e-164,2.3739517028063645e-82,2.373921916036843e-82,inf,2.0,1.0
44,340 days,5.675872204218679e-164,2.3824089078532843e-82,2.382376866949571e-82,inf,2.0,1.0
45,347 days,5.7181491088595974e-164,2.3912651690809194e-82,2.391232460509567e-82,inf,2.0,1.0
46,354 days,5.7625812659789396e-164,2.4005377035112236e-82,2.4005010242042425e-82,inf,2.0,1.0
47,361 days,5.809019291401717e-164,2.4101907168109575e-82,2.4101497055853385e-82,inf,2.0,1.0
