,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.004590086189189962,0.06775017482774463,0.06535687311222557,0.06720442693593534,0.06724007351509936,0.06971517475314556,1.0
1,39 days,0.0053916458340677485,0.07342782738218358,0.07265022336424978,0.07437866266184145,0.07434239404282834,0.07731252028246463,1.0
2,46 days,0.005443581830174895,0.0737806331646381,0.0729975450710724,0.07454629032280514,0.07434239404282834,0.07749366939499494,1.0
3,53 days,0.004831785575165994,0.06951104642548545,0.06926446267902364,0.070747258749497,0.07368347379534984,0.07335766140194412,1.0
4,60 days,0.0050463370355231345,0.07103757481448204,0.07082609327685103,0.07200811134532381,0.07368347379534984,0.0747121875008514,1.0
5,67 days,0.005498512865667114,0.07415195793549294,0.07413294505038802,0.07510248658410312,0.07434239404282834,0.07803410662172701,1.0
6,74 days,0.0054748986074491844,0.07399255778420681,0.07397071285278896,0.0749078766748026,0.07368347379534984,0.07782428636892774,1.0
7,81 days,0.005337344353173683,0.07305713074829645,0.07303227063295091,0.07402526307598513,0.07354433649423336,0.0768722466301964,1.0
8,88 days,0.005781063678086825,0.07603330637350203,0.07582016871570066,0.07669040806636371,0.07354433649423336,0.07976519244788367,1.0
9,95 days,0.006383499277152566,0.07989680392326445,0.07950234815287244,0.08030124248124444,0.07743312009060627,0.08369380137099611,1.0
10,102 days,0.006002872914109957,0.07747820928564339,0.07677667626077588,0.07786753787295365,0.07336934449632576,0.0810766742342668,1.0
11,109 days,0.005936542380610403,0.07704896093141297,0.07631093250815504,0.0776189196450315,0.07212625335671491,0.08080893260464092,1.0
12,116 days,0.006231095447382288,0.07893728806706174,0.0782538968274633,0.07961253938147819,0.08206413918564401,0.08296559835276085,1.0
13,123 days,0.006200596039978587,0.0787438635068066,0.0780767940802774,0.0795315099285119,0.08206413918564401,0.08287704904578556,1.0
14,130 days,0.006040888871155827,0.07772315530879988,0.07717714216635055,0.07874451947019236,0.08206413918564401,0.08201447694050328,1.0
15,137 days,0.006606898634006426,0.08128283111461132,0.08106801929672346,0.08268670735780885,0.08497553648723481,0.08627047484651455,1.0
16,144 days,0.007376649121923501,0.08588742120894946,0.08577271402953708,0.08775776821844673,0.08660405148241128,0.09180080870073035,1.0
17,151 days,0.008169898603959867,0.09038749141313673,0.090107661887488,0.093087980460239,0.08766355627703926,0.09767859080271461,1.0
18,158 days,0.009504677781961134,0.09749193700999655,0.09664951616007884,0.10118859420810943,0.09748155765990424,0.10672049970978428,1.0
19,165 days,0.0109584024572958,0.10468238847722094,0.10363949451774808,0.11026712234649222,0.10871520039460542,0.11689187991142322,1.0
20,172 days,0.012551520130868682,0.11203356698270694,0.11144978238791596,0.12045204045025756,0.12710712022176338,0.12830420224284755,1.0
21,179 days,0.013745235267485098,0.11724007534748986,0.11700428957698639,0.12853320806767815,0.13305619696895327,0.13742849667478974,1.0
22,186 days,0.013818290774526268,0.11755122617193862,0.11735818306497992,0.1313921514662052,0.13305619696895327,0.1406499113924923,1.0
23,193 days,0.01381001426904232,0.11751601707444956,0.1173231977983096,0.13422847428635354,0.13590012700606155,0.14390895957111105,1.0
24,200 days,0.014977036696561214,0.12238070393882042,0.12172794789036286,0.14270528107509453,0.137887395747007,0.1538630810321512,0.8
25,207 days,0.016792616433981365,0.12958632811366083,0.128307856573677,0.1555436092188652,0.14128873432250505,0.16916863042021657,0.6000000000000001
26,214 days,0.02352360851005547,0.15337408030712188,0.1480299359020004,0.18449850037585447,0.17544023091265817,0.20538627237216556,0.4
27,221 days,0.03742171020726917,0.1934469183193911,0.1838938906978235,0.23022438541760765,0.2000917677249151,0.26450266068278055,0.2
28,228 days,0.049026228413132575,0.22141867223234038,0.21391743320376347,0.2711202021261086,0.2826618515319531,0.3177049695633537,0.0
29,235 days,0.0601929916855519,0.24534260063338348,0.24050940107144678,0.3063615810306004,0.3457678178650097,0.3645760106254128,0.0
30,242 days,0.06991273077059376,0.2644101563302623,0.26345687284390973,0.3358528117046785,0.3475479210953056,0.40423792296527516,0.0
31,249 days,0.07156389439151502,0.2675142882006773,0.26706257583379406,0.3448925234305327,0.3475479210953056,0.4168296768282074,0.0
32,256 days,0.07617600306763228,0.2760000055573048,0.27468637942000435,0.357405372641459,0.3475479210953056,0.43597737316032964,0.0
33,263 days,0.09388382981998461,0.306404683090818,0.3011562321273414,0.38488077020364275,0.35164712543511734,0.4797762917724728,0.0
34,270 days,0.10534087953404705,0.3245625972505875,0.31899919694392653,0.40795101652868243,0.4142035886506381,0.5162953368499076,0.0
35,277 days,0.1075742482601073,0.3279851342059687,0.3229994744371268,0.4188413090601736,0.4142035886506381,0.5327919093810944,0.0
36,284 days,0.10197556196698604,0.3193361269367843,0.3092507928393442,0.40554878912161235,0.4142035886506381,0.5145027156569759,0.0
