,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.0036151883550751794,0.06012643640758347,0.05831945098438976,0.06059717598695259,0.0644953374395966,0.06260663123327628,1.0
1,39 days,0.004364829796525873,0.06606685853380553,0.06571886342564925,0.0677709654566573,0.07031929542849215,0.07017215753197092,1.0
2,46 days,0.0043479858192261595,0.06593925855835929,0.06559738846457147,0.0674097647141498,0.07009889223549881,0.06978387744477028,1.0
3,53 days,0.004122042580800355,0.06420313528793088,0.0639621544699174,0.06558906159979476,0.06641143398798757,0.0678267436538137,1.0
4,60 days,0.004566643270355214,0.06757694333391541,0.06749874293400211,0.06885061480466308,0.07009889223549881,0.07131034855157396,1.0
5,67 days,0.004847163627182837,0.0696215744376902,0.0695678288758278,0.07076600167590667,0.07031929542849215,0.07336568199941619,1.0
6,74 days,0.004652354079110717,0.06820816724638419,0.06807919724886287,0.06930905688930325,0.07009889223549881,0.07180650377247855,1.0
7,81 days,0.004225908919984033,0.06500699131619639,0.06453540410354708,0.06586366062414213,0.06641143398798757,0.06813900824736842,1.0
8,88 days,0.004234429621110127,0.06507249511975184,0.06460078573810944,0.0659013008985424,0.06659963535998897,0.06817928244590991,1.0
9,95 days,0.0043733381933987615,0.06613121950636297,0.06553880202308766,0.06685991748143434,0.06659963535998897,0.06921440229530965,1.0
10,102 days,0.0035730018645098198,0.05977459213168936,0.058217474591484505,0.059769908630082955,0.06303457149547506,0.06170672609660878,1.0
11,109 days,0.003377876415192091,0.05811950116090202,0.05651974286701294,0.05826085829679651,0.05548931982904279,0.06010410256710888,1.0
12,116 days,0.0039202048271540215,0.0626115390894843,0.060878860890749724,0.06259913892717063,0.06659963535998897,0.0647327475205414,1.0
13,123 days,0.0041169008372368004,0.0641630800167573,0.062306396301892414,0.06411503637865754,0.07417912261742357,0.06636126388684957,1.0
14,130 days,0.004318651255724577,0.06571644585432612,0.06357433108514726,0.06550105715878994,0.07417912261742357,0.06786705768887472,1.0
15,137 days,0.005385867557448683,0.07338847019422522,0.07262240961716268,0.07468497803625113,0.07456331406156379,0.07764515159278904,1.0
16,144 days,0.006353009574302262,0.07970576876426362,0.07949175125185184,0.08174417156042318,0.0845418319263636,0.08525104043598764,1.0
17,151 days,0.006777808045568044,0.08232744406070217,0.08215468588240027,0.08487567715938707,0.08465130174686188,0.0886574808149514,1.0
18,158 days,0.006982140320676209,0.08355920248946976,0.08350197952790311,0.08692917797757045,0.08465130174686188,0.0908840937300172,1.0
19,165 days,0.0075567113654506825,0.08692934697471667,0.08667110603954058,0.09106176890303476,0.0902208420563831,0.09543918801589368,1.0
20,172 days,0.009316297489873553,0.09652096917185174,0.09521628059526514,0.1009219572665443,0.0907852874499032,0.10647296750264082,1.0
21,179 days,0.0124264262620782,0.1114738815242306,0.10817803634211133,0.11588019685138033,0.10531425637418343,0.12355683109629653,0.8
22,186 days,0.016446733645856162,0.12824481917744732,0.12410256777489699,0.13508292391118804,0.1338427737439113,0.1457315747876351,0.6000000000000001
23,193 days,0.02250358912264365,0.1500119632650798,0.14650242650310383,0.16201049730133754,0.16557648537408337,0.17730485012746103,0.4
24,200 days,0.03098723004589115,0.17603190064840846,0.17245380699489457,0.194251540479634,0.18623447735542167,0.21657051192931293,0.2
25,207 days,0.043194138647005054,0.20783199620608242,0.20290337011086848,0.2330427691035341,0.21908449365908778,0.2662934514313261,0.0
