,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.0021461911333006257,0.04632700220498436,0.04081857769698653,0.04188653675686957,0.0510267050025238,0.04304306685495605,1.0
1,39 days,0.002557737370276627,0.05057407804672891,0.049170597589311665,0.05036995814261922,0.0510267050025238,0.05174826142570316,1.0
2,46 days,0.0027465035042390836,0.0524070940258958,0.05182709544134861,0.0529675930636542,0.0510267050025238,0.05444324325256996,1.0
3,53 days,0.0023131166108398306,0.048094870941087164,0.047512788838982675,0.048574096500539087,0.04637889986579415,0.04981587550924772,1.0
4,60 days,0.0019253757305809404,0.04387910357540296,0.043736424717679134,0.044624180416308785,0.04293711196458472,0.04565014279688965,1.0
5,67 days,0.001836330813495386,0.04285243066029494,0.0427952109851826,0.04352860852920359,0.04293711196458472,0.04449968640489846,1.0
6,74 days,0.0017246259741012671,0.04152861632779579,0.04147199280313307,0.04216997931873238,0.04259675095190689,0.04308071791352583,1.0
7,81 days,0.0014488022896038677,0.038063135572412685,0.03703402714415227,0.037707725710605586,0.04018143429673434,0.03847304583167688,1.0
8,88 days,0.001392054089942413,0.03731024108662946,0.036278431411863224,0.03692106229978382,0.039585753813438054,0.03765543533162625,1.0
9,95 days,0.0016327994467169645,0.04040791316953852,0.038778529070955185,0.039343724963507604,0.039585753813438054,0.04020043829816179,1.0
10,102 days,0.0014463055127492807,0.03803032359511658,0.03638561248105668,0.037020123396176836,0.03624811724262552,0.037781648992918894,1.0
11,109 days,0.0014155464355340602,0.03762374829192408,0.03597967688761366,0.03662016080187672,0.03624811724262552,0.037365795004033024,1.0
12,116 days,0.0016646667570761635,0.04080032790402748,0.040094852828606364,0.04073936558254935,0.037585940841937504,0.041615514171907994,1.0
13,123 days,0.001746441695172414,0.04179044980820874,0.041161581056810226,0.041824806769898776,0.04122186782731395,0.04274451686370904,1.0
14,130 days,0.0018218467929765037,0.04268309727487573,0.04183390157880128,0.04252105722292895,0.04122186782731395,0.043481800683879274,1.0
15,137 days,0.0021487610196161116,0.046354730283069405,0.0456725280117942,0.04634494884976711,0.041675323179372684,0.047477677053583724,1.0
16,144 days,0.0022431801517931,0.04736222283416499,0.046857666125483526,0.04762219734958284,0.04397218334101619,0.04880865150592488,1.0
17,151 days,0.0022366562488119472,0.04729330025291053,0.04677683341060813,0.047656641276770675,0.04397218334101619,0.04884456356821762,1.0
18,158 days,0.002115537200146273,0.04599496929172008,0.045135336655816594,0.046163844948967386,0.04397218334101619,0.04729346631842623,1.0
19,165 days,0.0017374026445674587,0.041682162186809105,0.041187300923725606,0.04249837982769834,0.041394087463253106,0.043441376217604584,1.0
20,172 days,0.00154914081007242,0.03935912613451193,0.03919267138284392,0.04075903837301098,0.041394087463253106,0.04161411864100706,1.0
21,179 days,0.0014319667132471855,0.037841336039405184,0.03769222373745636,0.03952825773026658,0.039863990929331454,0.040331414796122275,1.0
22,186 days,0.001271305027330364,0.03565536463605952,0.03534999006874937,0.0374767686555541,0.03781828012729415,0.03820343959696097,1.0
23,193 days,0.0013856700746412236,0.03722458965040748,0.036908696164570244,0.03955236531335899,0.039863990929331454,0.040363312257037556,1.0
24,200 days,0.0018940849552366678,0.043521086328774786,0.04193426806935608,0.04558105658884095,0.04435358859109794,0.04673773989866997,1.0
25,207 days,0.003102270675889972,0.05569803116708859,0.0511818344687576,0.05666856145856979,0.04458932482938068,0.0586721823500036,1.0
26,214 days,0.005349467873363379,0.07314005655838242,0.06646712518294524,0.07528237861343035,0.07000744730674126,0.07897333684808282,0.8
27,221 days,0.010070296017550686,0.10035086455806291,0.09202824916526604,0.10575729942635652,0.09979111293974213,0.1130576296304623,0.6000000000000001
28,228 days,0.015705907106380396,0.12532321056524365,0.11845155412976595,0.13814091313775972,0.13088736590159694,0.14999344827771216,0.4
29,235 days,0.023350792320073317,0.15280966042784505,0.1469132966744595,0.1728915610030712,0.1835112461543216,0.19100286281460843,0.2
30,242 days,0.036199616654994514,0.19026196849342886,0.18291496693563067,0.2145452261897819,0.20650739338639676,0.24282636588786474,0.0
31,249 days,0.04989924837070804,0.22338139665314127,0.2174845591319608,0.25462378702318256,0.2437606866332985,0.2942251931000721,0.0
32,256 days,0.06739303852709737,0.2596016920728703,0.2531327454753789,0.29390445504563983,0.3080594388732955,0.34761621471156806,0.0
33,263 days,0.08667574013385923,0.2944074389920527,0.2896530288152435,0.3324458088577208,0.3312801700686004,0.4013137229082651,0.0
34,270 days,0.09581237188304863,0.309535736035516,0.30785615578733116,0.3524235092025639,0.34364918835751374,0.42878440648796,0.0
35,277 days,0.09478664646168303,0.30787440046499975,0.30591045410879913,0.34960282250539193,0.34364918835751374,0.4248756419154922,0.0
36,284 days,0.08471187257515925,0.2910530408278863,0.2839856777253667,0.3233278701428045,0.34364918835751374,0.3898873150826534,0.0
37,291 days,0.06368814775855082,0.25236510804497286,0.23353608202822368,0.26617949233171473,0.2939560053874357,0.31585140107996007,0.2
