,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.004470877811991441,0.0668646230228769,0.06620157388380471,0.06824598894492886,0.0684223132212587,0.07070429754852814,1.0
1,39 days,0.004484904724530348,0.06696943126927649,0.06630655311633102,0.06821355846439245,0.0682601608185766,0.07066953172200677,1.0
2,46 days,0.004283941646770974,0.06545182691698509,0.06492490827151294,0.06669057725977685,0.0682601608185766,0.06902700128728109,1.0
3,53 days,0.003970405372136487,0.06301115275993995,0.06272303075326316,0.06435730942710405,0.0671411211022875,0.06651364795508254,1.0
4,60 days,0.004439401153614208,0.0666288312490487,0.06647565653476109,0.06786339455508247,0.0682601608185766,0.0702571244956759,1.0
5,67 days,0.004808225212544806,0.06934136725321188,0.06929067492084794,0.07052845277966169,0.07034722254369598,0.07311026230346777,1.0
6,74 days,0.004655809266303472,0.06823349079670094,0.0681017490155223,0.06936018358011152,0.07034722254369598,0.07186174555349283,1.0
7,81 days,0.0041775938935719285,0.06463430895098925,0.06406066576305225,0.06540903273725579,0.0671411211022875,0.067660272620804,1.0
8,88 days,0.004184699538138747,0.06468925365266434,0.0641146372873132,0.06541320194903186,0.06716196716116779,0.0676647365606922,1.0
9,95 days,0.0043224905699126605,0.06574565057791018,0.06504324709490124,0.0663385883749063,0.06716196716116779,0.06866416882321663,1.0
10,102 days,0.0034975362814688264,0.05913997194342272,0.05728171480826043,0.05877936255561797,0.06241881482082574,0.060672297575566844,1.0
11,109 days,0.003326343691960748,0.05767446308341975,0.055790428816856794,0.05747839340312513,0.055913969058361525,0.05929079530808004,1.0
12,116 days,0.003865444504666036,0.06217269902992821,0.06026422172323431,0.061955786439037416,0.06716196716116779,0.06405835098071402,1.0
13,123 days,0.004136749980438357,0.06431757131949524,0.06218142187766402,0.06393699076596494,0.0729784335089788,0.06619056044719955,1.0
14,130 days,0.0042976510992438965,0.06555647259610524,0.06319904045706382,0.0650447375405196,0.0729784335089788,0.06739329034372457,1.0
15,137 days,0.005227532299297845,0.07230167563271162,0.07166655637180679,0.07364865354947743,0.07706798879580543,0.07651437680546191,1.0
16,144 days,0.0061050599319821324,0.07813488293958168,0.07798323783119109,0.08014792811194715,0.07891859680849163,0.08350981177225325,1.0
17,151 days,0.006716304307216331,0.0819530616097796,0.081761855605021,0.08440997640017764,0.08336427957574977,0.08815212742902032,1.0
18,158 days,0.0075622123064263864,0.08696098151715162,0.08658916513017156,0.09002384254131462,0.08841034187071012,0.09431496004945658,1.0
19,165 days,0.008864230857084395,0.09415004438174417,0.09322001572480085,0.09785279596641185,0.0942886749501313,0.10301750489350453,1.0
20,172 days,0.01111416870808516,0.10542375779721173,0.10411004954464345,0.11042264789397235,0.10513731950149029,0.11710210163004231,1.0
21,179 days,0.0142664669008871,0.1194423162069754,0.11741045442324828,0.12609853135006063,0.12250904670123591,0.1349951802586351,0.8
22,186 days,0.01777586185244309,0.13332614841974205,0.13141106417585763,0.1436207368082493,0.1417678564462941,0.15522415196283523,0.6000000000000001
