,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.0016613267989683193,0.04075937682261984,0.037513418676589146,0.038762791993027866,0.04345219926723471,0.03966563362498414,1.0
1,39 days,0.002074169517476942,0.0455430512534782,0.04411980422619673,0.04529852546787266,0.048355782000381896,0.04641621744871556,1.0
2,46 days,0.0019296040491589618,0.04392725861192526,0.04275964718711445,0.04380068195039055,0.048355782000381896,0.04483398553951654,1.0
3,53 days,0.001927009800773012,0.04389771976735252,0.0427338948370094,0.0435916201880907,0.048355782000381896,0.04461370532680659,1.0
4,60 days,0.0024178970027678697,0.04917211611033096,0.04900755751164255,0.04973061345636054,0.050317599674374526,0.051006930728007785,1.0
5,67 days,0.0025772399332750105,0.050766523746214993,0.05071402562328889,0.05137718890867823,0.05107083904438821,0.05273472491317259,1.0
6,74 days,0.0024767308073752373,0.04976676408382644,0.049596457280953174,0.050334323803511695,0.05107083904438821,0.051642459843374566,1.0
7,81 days,0.002265613907710252,0.047598465392386886,0.04718117114894352,0.04804044499376288,0.05107083904438821,0.049242768527526536,1.0
8,88 days,0.002324781907008867,0.04821599223296008,0.047753015162889635,0.048644532167409785,0.05168507652882317,0.049879917646283904,1.0
9,95 days,0.002255669188878089,0.047493885805207484,0.047103246925806426,0.048052321164073264,0.05168507652882317,0.04925439882113325,1.0
10,102 days,0.0017545881924685976,0.04188780481797295,0.038819418495530875,0.03977532780426969,0.04314145647454922,0.040692629305734515,1.0
11,109 days,0.0014715066469492774,0.038360222196297006,0.034196346997865515,0.035156337287404534,0.038848205625630496,0.0359240101473155,1.0
12,116 days,0.001975405891679102,0.04444553849014659,0.03921419202487367,0.040121508048687686,0.05249559227874076,0.04115404408859108,1.0
13,123 days,0.002233796079421724,0.04726305194781357,0.041416284926759334,0.04239245033938226,0.05249559227874076,0.04356707432623101,1.0
14,130 days,0.0024810684700888787,0.049810324934584385,0.043586007929822965,0.04467973668740308,0.06367405943204622,0.045993580934715055,1.0
15,137 days,0.003185485401030846,0.05644010454482563,0.05370066343221647,0.05506632480967218,0.06367405943204622,0.05679045750021486,1.0
16,144 days,0.0047933909853776074,0.06923431941875074,0.06822227156324719,0.06992122443549208,0.06393202401884487,0.07253844187702224,1.0
17,151 days,0.007214612603637535,0.08493887569091985,0.08100445559848121,0.08353208955920459,0.06544598636609557,0.08758812107564228,1.0
18,158 days,0.01129360768045393,0.10627138693201445,0.09948303442085295,0.1036491176927069,0.09432100201932293,0.11026853594230537,1.0
19,165 days,0.01633428454431553,0.12780565145687234,0.12111794381655293,0.12768829047776864,0.13172838505060885,0.13761956368618178,0.8
20,172 days,0.0213374671777556,0.1460734992315704,0.14293645801557944,0.15231808143639822,0.1660311270336071,0.1656373590864972,0.6000000000000001
21,179 days,0.025865238848260794,0.16082673548965917,0.1598404105126537,0.1722065626538179,0.1841278879441534,0.18874934301592747,0.4
22,186 days,0.028799627512607087,0.16970453002971692,0.16955928269473697,0.18591391500134768,0.1853820051342988,0.2050560033537468,0.2
23,193 days,0.03208631400749973,0.179126530719209,0.17871642772441834,0.20027221525721906,0.19376340810642115,0.22282739515609812,0.0
24,200 days,0.0371048922265976,0.1926263020114273,0.19115803144091315,0.21978286664377225,0.20026514678825813,0.2478390683752055,0.0
25,207 days,0.044989302856105404,0.21210681944743173,0.20949103024488563,0.24717462598003598,0.23782262831296375,0.2838298238568557,0.0
26,214 days,0.05948270451063857,0.24389076347955158,0.2385992814577395,0.2858267526154886,0.28168114487691925,0.3368975958499467,0.0
27,221 days,0.07364015264222877,0.2713671915361707,0.2672663937331471,0.3263435664222999,0.3223408018156177,0.39327964174345814,0.0
28,228 days,0.07464805856220488,0.27321796895922656,0.26968461010731654,0.34540617016939235,0.33313564704842613,0.4192389031966603,0.0
29,235 days,0.06402081162992408,0.2530233420653598,0.22962180782926406,0.30514684311775925,0.33313564704842613,0.37041769744632813,0.2
30,242 days,0.05835973021874414,0.2415775863335507,0.21732122424117978,0.5487449629077441,0.38702404128368423,0.46759525654166123,0.2
31,249 days,0.03766308133004019,0.19406978469107494,0.1539832134990395,0.4747324128083033,0.33313564704842613,0.3749813539004123,0.4
32,256 days,0.020818653639623798,0.1442867063856674,0.11655571490657417,0.6632300605831631,0.33313564704842613,0.43495058094455646,0.6000000000000001
