,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0009327809776906569,0.030541463253921822,0.029441678202026877,inf,1.8937910321222748,1.0
1,39 days,0.039744671661054096,0.19936065725477053,0.11469448876869166,19.055816806463678,1.824951539202923,0.8
2,46 days,0.08863938487722353,0.29772367201353594,0.20828827258583496,9.727674655563765,1.7921595279115983,0.6000000000000001
3,53 days,0.16105814542881478,0.40132050212867865,0.3220862844116457,0.9141483387970197,1.7289084122976162,0.4
4,60 days,0.24696260970924605,0.4969533274958988,0.4462234427319678,0.9141483387970197,1.668887780469892,0.2
5,67 days,0.3302847168710467,0.5747040254522728,0.5682900176191318,0.9141483387970197,1.6764060495284259,0.0
6,74 days,0.3561125195121786,0.5967516397230749,0.5938760197627452,0.9141483387970197,1.6767626892527374,0.0
7,81 days,0.3207514329477592,0.5663492146615542,0.5471480229545501,0.9141483387970197,1.6208995170755143,0.0
8,88 days,0.2485615664319718,0.4985594913668496,0.4361605164230058,0.9179005064127775,1.534402934055614,0.2
9,95 days,0.16300821394647896,0.4037427571442972,0.31589511175862595,0.9179005064127775,1.514615576177918,0.4
10,102 days,0.07958034644144454,0.282099887347451,0.1921760374584261,0.90638243615457,1.2955323052474648,0.6000000000000001
11,109 days,0.015499909521836018,0.12449863261030628,0.08940415550107389,3.3423191628201177,1.3640151584425046,0.8
12,116 days,0.0022231336008529125,0.04715011771833568,0.04609456796826581,8.024059031594334,1.4266688812245623,1.0
13,123 days,0.00210078239356358,0.04583429276822737,0.04471346211107695,10.50083751303295,1.5552170309571958,1.0
14,130 days,0.0016864170383598114,0.04106600830808628,0.039891616344144655,21.63902298663932,1.6011826744517692,1.0
15,137 days,0.0016157051523603076,0.040195835012601835,0.03843179147708571,35.736652026255534,1.8809623926673482,1.0
16,144 days,0.0010403766976999102,0.03225487091432719,0.02974403695305395,35.736652026255534,1.8809623926673487,1.0
17,151 days,0.0006404503693861604,0.025307120922502434,0.021757058034792033,inf,1.9449581048879057,1.0
18,158 days,0.00030913958050857225,0.017582365611844508,0.014267085638222654,inf,1.9661576537891539,1.0
19,165 days,0.0001300222478631925,0.011402729842594382,0.009633960299020987,inf,2.0,1.0
20,172 days,7.164330711436926e-05,0.008464236948146553,0.007811034278727301,inf,2.0,1.0
21,179 days,8.390194488804499e-05,0.00915980048298242,0.008297199341778298,inf,2.0,1.0
22,186 days,8.992646293339677e-05,0.009482956444769573,0.008777638980707632,inf,2.0,1.0
23,193 days,8.843486442493472e-05,0.00940398130713448,0.00850161900733278,inf,2.0,1.0
24,200 days,7.683971830595287e-05,0.00876582673259932,0.007238128139933341,inf,2.0,1.0
25,207 days,5.0598080166663576e-05,0.007113232750772575,0.004968465429341124,inf,2.0,1.0
26,214 days,1.3449714871748543e-05,0.0036673852908780313,0.002665651212095153,inf,2.0,1.0
27,221 days,3.2299912960946464e-06,0.0017972176540682675,0.0016057839067232203,inf,2.0,1.0
28,228 days,1.4812146292967359e-05,0.003848655127829377,0.002777674720988061,inf,2.0,1.0
29,235 days,2.495599402436819e-05,0.004995597464204676,0.0039444840234596846,inf,2.0,1.0
30,242 days,4.066427465324397e-05,0.006376854604994845,0.005695724736580149,inf,2.0,1.0
31,249 days,5.230647426454216e-05,0.007232321498975427,0.006828220063116477,inf,2.0,1.0
32,256 days,5.976914255454628e-05,0.007731050546629888,0.00769050387836851,inf,2.0,1.0
33,263 days,5.724065220882892e-05,0.007565755230565479,0.007520737345198266,inf,2.0,1.0
34,270 days,5.722307685333888e-05,0.00756459363438241,0.0075195270595349185,inf,2.0,1.0
35,277 days,5.16906416902653e-05,0.0071896204135034345,0.007173680030579454,inf,2.0,1.0
36,284 days,4.8916772001305646e-05,0.006994052616423874,0.006988991337336575,inf,2.0,1.0
37,291 days,4.9219314060762406e-05,0.007015647800507264,0.0070121186459590635,inf,2.0,1.0
38,298 days,4.9407449534102356e-05,0.007029043287254842,0.007025450474223121,inf,2.0,1.0
39,305 days,5.056405616848084e-05,0.007110840749762354,0.007103056143989622,inf,2.0,1.0
40,312 days,5.053493809491184e-05,0.007108793012524126,0.007101013819890268,inf,2.0,1.0
41,319 days,4.897355539182833e-05,0.006998110844494272,0.006985511634242013,inf,2.0,1.0
42,326 days,4.591061384877312e-05,0.006775737144309328,0.006728370636270123,inf,2.0,1.0
43,333 days,4.069469814715353e-05,0.006379239621393253,0.006293937072211374,inf,2.0,1.0
44,340 days,3.445091169396629e-05,0.00586948990066141,0.005808606194647514,inf,2.0,1.0
45,347 days,3.137503659773419e-05,0.0056013423924747,0.005573275899503892,inf,2.0,1.0
46,354 days,2.8233146393579465e-05,0.005313487215904397,0.005302064163248625,inf,2.0,1.0
47,361 days,2.2662984766852035e-05,0.00476056559316769,0.004362153549295799,inf,2.0,1.0
