,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.0044744833802943,0.06689157929286989,0.06486491543373606,0.06714476608943176,0.073963344740614,0.06962486257663333,1.0
1,39 days,0.0054158895717946,0.07359272770997552,0.07339161929329059,0.07552689589170036,0.07643767500503958,0.07850653200350283,1.0
2,46 days,0.00551432120636108,0.07425847565336283,0.07413638795049199,0.07606143241185093,0.07643767500503958,0.07907935538389033,1.0
3,53 days,0.00497271523254309,0.07051748175128696,0.0703224108788318,0.07212220559647743,0.073963344740614,0.0748366673395847,1.0
4,60 days,0.004850023771883756,0.06964211205789035,0.0694674907436413,0.07102810466177382,0.07096717033152147,0.07365723916219497,1.0
5,67 days,0.004947980681178862,0.07034188425951399,0.07013428435268587,0.07150608329572725,0.07096717033152147,0.07417327349977668,1.0
6,74 days,0.004852276988422908,0.06965828729177102,0.06949560807191102,0.07084937847587555,0.07096717033152147,0.07346347183384849,1.0
7,81 days,0.004618329143871652,0.06795828973621726,0.06764843800111814,0.06904716374997844,0.07096717033152147,0.07153848218660877,1.0
8,88 days,0.004624549591200741,0.06800404099169946,0.06769893349849175,0.06903993762294551,0.07096717033152147,0.071530778670789,1.0
9,95 days,0.004913969140528232,0.07009970856236303,0.06964196292327621,0.07085738991915838,0.07461658457304048,0.07349366195517773,1.0
10,102 days,0.004439675233122982,0.06663088798089804,0.06605748951554533,0.0674272915558749,0.06294321338865537,0.06981863041440693,1.0
11,109 days,0.004082707363827425,0.06389606688856071,0.06337875511590879,0.06484677467018479,0.06171400014458996,0.06705276138705302,1.0
12,116 days,0.004231601007167409,0.06505075716060044,0.06458489063979218,0.06599487168085964,0.06294321338865537,0.06827699801826174,1.0
13,123 days,0.004360094558610132,0.06603101209742383,0.06558528718141904,0.0670131078403434,0.06605996696450332,0.06936534346265977,1.0
14,130 days,0.004340663077708063,0.06588370874281489,0.06546234449754551,0.06700206514320496,0.06605996696450332,0.06935336103458808,1.0
15,137 days,0.004846120342057768,0.06961408149259579,0.06925282747200333,0.0708119882642895,0.06803439418607417,0.0734393734187579,1.0
16,144 days,0.005047653806490223,0.07104684234003805,0.07083034194964742,0.07251904865405395,0.07024930209341226,0.0752649069353939,1.0
17,151 days,0.004899387795153172,0.0699956269716414,0.06962955057160432,0.07149812075186593,0.07024930209341226,0.07417591604576038,1.0
18,158 days,0.004523260774244771,0.0672551914296939,0.0664265504934545,0.068556839706478,0.07024930209341226,0.07104764525000956,1.0
19,165 days,0.004002586724857381,0.06326599975387555,0.06267161079679599,0.06525903062576074,0.06351017292330728,0.06749976563212441,1.0
20,172 days,0.003998011005318397,0.06322982686452966,0.06264153727163661,0.06574451622461719,0.06351017292330728,0.06802625857065295,1.0
21,179 days,0.004285882443276731,0.06546665138279742,0.06461960411683357,0.06839387664727353,0.06351017292330728,0.07089169067610702,1.0
22,186 days,0.004721459257809582,0.06871287548785586,0.0678761909149436,0.0726772968575288,0.08067978969366872,0.07549954343270357,1.0
23,193 days,0.006204670298382746,0.0787697295817546,0.07772201232121684,0.08420217826870688,0.0823724285048394,0.08803559499084887,1.0
24,200 days,0.010203081270105052,0.10101030279186897,0.09644818508142777,0.10601146863368563,0.08349610420669398,0.11268703974803415,0.8
25,207 days,0.018157604361420405,0.13475015532985632,0.12393238197791732,0.1386575322044576,0.11095239601502495,0.15143034190924792,0.6000000000000001
26,214 days,0.02908584318751891,0.17054572169221635,0.1576568795579515,0.17982188700579468,0.17255662474820108,0.201653299117466,0.4
27,221 days,0.040444108053198834,0.20110720537364848,0.19262091446940333,0.22239080007836334,0.2439101075475286,0.2537390800244448,0.2
28,228 days,0.04881112327088737,0.22093239524996638,0.21816268377662856,0.2543095488737393,0.27054613999190474,0.2928190271874005,0.0
29,235 days,0.051981810974726775,0.227995199455442,0.22716603404994212,0.26839619667867254,0.27054613999190474,0.3103679091153222,0.0
30,242 days,0.055862558012820994,0.2363526137211539,0.23545328877302762,0.28009911836147205,0.2893178782133794,0.32607075988107564,0.0
31,249 days,0.061036478202893485,0.24705561763071385,0.24502528132037027,0.293088947689562,0.2952169938676827,0.34452663949209106,0.0
32,256 days,0.07398067896512794,0.2719938950879742,0.26637108735765097,0.31762059025117545,0.3024247159615265,0.38090781903783355,0.0
33,263 days,0.09503014839966702,0.30826960343126114,0.3001060785688604,0.35414322846276247,0.354267024853829,0.43551723988696867,0.0
34,270 days,0.11293174740581173,0.336053191334068,0.33220598569851817,0.3928093321453103,0.41787520667574984,0.49181205021968843,0.0
35,277 days,0.13198717755524197,0.3633003957543151,0.3612918305992044,0.4275659925941924,0.4363203821856061,0.5455576984127406,0.0
36,284 days,0.14462540019739137,0.3802964635615106,0.37984587813954196,0.4511597974729519,0.45315933104983974,0.5830932105301236,0.0
37,291 days,0.13739111183239047,0.37066307049986846,0.36885447354700285,0.4436117427701071,0.45315933104983974,0.5713123923276153,0.0
38,298 days,0.11677345512363345,0.3417213120711576,0.33605823772426485,0.40977656825653475,0.4363203821856061,0.5203251691577623,0.0
39,305 days,0.0963100467510431,0.31033860016285936,0.29687717673705294,0.3602808719992417,0.3801349331615262,0.45041774637940746,0.0
40,312 days,0.06496646358008341,0.2548851968633789,0.22867162705925095,0.2787725465744651,0.2839834584819777,0.3396332519920535,0.2
41,319 days,0.03509091742275681,0.1873256987782424,0.15509034186438242,0.18862374078822816,0.1888419008991407,0.2203372457001182,0.4
42,326 days,0.01789729203823756,0.1337807610915619,0.10891108816135978,0.12758753587503666,0.07495390859556872,0.14204341513231794,0.6000000000000001
43,333 days,0.007831847753342372,0.08849772739083402,0.07453328415024763,0.08385708110710183,0.06866639108205463,0.0893549091813258,0.8
44,340 days,0.002675735867472204,0.05172751557413331,0.047724332157297523,0.05254310087496668,0.06533118464230352,0.05420883376847279,1.0
45,347 days,0.0019823433477496964,0.04452351454849107,0.037209339533383144,0.04031018874570768,0.032271999738465014,0.041482043685214375,1.0
46,354 days,0.0019487988432917071,0.044145201815052416,0.03619400521915675,0.03905672142124199,0.032271999738465014,0.040205240809531,1.0
47,361 days,0.0009871517401737597,0.031418971023471784,0.024823897318372135,0.02705782614024147,0.015224683694112983,0.02764520911358109,1.0
