,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.004769505015036801,0.06906160304421553,0.06654948817462783,0.06890225231460691,0.08036177171090639,0.0715527859784574,1.0
1,39 days,0.005357903923681298,0.07319770436073318,0.07224469590747296,0.07466221363242316,0.08036177171090639,0.07763590053287386,1.0
2,46 days,0.005540715237123667,0.07443598079641099,0.0738704815993387,0.07619280541532815,0.08036177171090639,0.07925987897077934,1.0
3,53 days,0.005193118247421389,0.07206329334287595,0.07145984567529873,0.07370111805496067,0.06819451966453335,0.07657264612280237,1.0
4,60 days,0.005161208596872999,0.07184155202160515,0.07126841725630134,0.07331890073959799,0.06819451966453335,0.07615549963321108,1.0
5,67 days,0.0052248457289605105,0.0722830943510342,0.07165555118050031,0.07359511471680169,0.06819451966453335,0.07645658947848682,1.0
6,74 days,0.005594595861570685,0.07479703110131233,0.07421299515686655,0.07609386907985054,0.08068829147977759,0.07915230866886953,1.0
7,81 days,0.005529458285510037,0.07436032736284878,0.07366008822887413,0.07560989793598567,0.08068829147977759,0.0786374238038214,1.0
8,88 days,0.005586308891258027,0.07474161418686398,0.07408353397957035,0.07602249454910001,0.08068829147977759,0.07908000393269758,1.0
9,95 days,0.0061372623551221705,0.07834068135472254,0.07712817548899958,0.07882894792825478,0.08068829147977759,0.08216245300589381,1.0
10,102 days,0.005943148765990167,0.07709182035722185,0.07591693076247301,0.07767069462220455,0.07929941432250172,0.08090278627796058,1.0
11,109 days,0.0056477202106968594,0.07515131542891887,0.07391184762160125,0.07565173063015362,0.07059347151952301,0.07872196885388916,1.0
12,116 days,0.005896268654314716,0.07678716464562757,0.0759004311757081,0.0775389505225993,0.07059347151952301,0.08073703107776975,1.0
13,123 days,0.006087354736005823,0.07802150175436143,0.07723620060288713,0.07887810746672219,0.0766621026952551,0.08218004656373863,1.0
14,130 days,0.006153078869863557,0.07844156340782327,0.07756840470700094,0.07937487838392218,0.0766621026952551,0.08273041729802288,1.0
15,137 days,0.007406191307900729,0.08605923139269098,0.08424805139886318,0.08588340073918746,0.0766621026952551,0.08990909402435028,1.0
16,144 days,0.008362148982750223,0.09144478652580595,0.09000363256385305,0.09162047651707832,0.09927885040897728,0.09616670307441132,1.0
17,151 days,0.009032529713044789,0.09503962180609091,0.09429086549431474,0.09583511816221905,0.09927885040897728,0.10073874213902594,1.0
18,158 days,0.009273952082890561,0.0963013607530577,0.09582466945906039,0.09742800251508554,0.09927885040897728,0.10246830033446261,1.0
19,165 days,0.009070838338183368,0.09524094885175897,0.0947791798865382,0.09660130012988463,0.09699071513875068,0.10155319366363534,1.0
20,172 days,0.008656505359807241,0.09304034264665646,0.09281728657041143,0.09497243164614544,0.09699071513875068,0.09973349234745915,1.0
21,179 days,0.007929281081062542,0.08904651077421587,0.08863709811657901,0.09146512325491903,0.09026838454327943,0.09588572690206823,1.0
22,186 days,0.007569296159182144,0.08700170204761597,0.08648184378046914,0.09035834272344828,0.08473448188592571,0.09467535126114382,1.0
23,193 days,0.008818363329517206,0.09390614106392194,0.0928286045601207,0.0981093264105667,0.09699071513875068,0.10330091201964345,1.0
24,200 days,0.012505119548935469,0.11182629185006301,0.10701066848341563,0.11478166612073917,0.10369768368013213,0.12255967326383246,0.8
25,207 days,0.01977103847174065,0.14060952482581204,0.12998552816875597,0.1414189994547625,0.1233814428951797,0.15442822745489576,0.6000000000000001
26,214 days,0.023544766918087316,0.15344304128270958,0.14612777902801494,0.16349000912516248,0.18035241368961305,0.17988481607635898,0.4
27,221 days,0.0251660817003656,0.1586382100893905,0.15434398184985654,0.17653748506678213,0.18035241368961305,0.19461401651786642,0.2
28,228 days,0.02448433798458243,0.1564747199536795,0.15113572156829158,0.17631763588244914,0.18035241368961305,0.1943644544821935,0.2
29,235 days,0.021176328514609318,0.1455208868671756,0.13886088601280455,0.16605032852243246,0.1499718615940238,0.18230134785475444,0.4
30,242 days,0.019178354272260268,0.13848593528680184,0.13394651728260007,0.16366589637959597,0.1499718615940238,0.17925375778242883,0.4
31,249 days,0.025357264981352618,0.15923964638667287,0.1496655059504874,0.18199728486671374,0.1499718615940238,0.2028857780572849,0.4
32,256 days,0.04237772456863732,0.20585850618479995,0.18885201026824308,0.22489143538883005,0.22496218963606623,0.2595898102304964,0.4
33,263 days,0.06269724534930217,0.2503941799429495,0.2359136989993159,0.2774768027019242,0.2837542992404342,0.32896086023450044,0.2
34,270 days,0.08379852256736842,0.28947974465818577,0.2833174225263476,0.3313251363175643,0.36444261420460544,0.400834472172499,0.0
35,277 days,0.10365154764116957,0.3219496041947708,0.31880558777749257,0.37168884985498735,0.3852090335389857,0.4586512984481485,0.0
36,284 days,0.11657711790336063,0.34143391440125076,0.34099125478071685,0.39625728363677526,0.39825754496772964,0.4945875045176793,0.0
37,291 days,0.12030068054417631,0.34684388497445984,0.34664545182450734,0.40010836297832,0.39825754496772964,0.5004146272259749,0.0
38,298 days,0.11178140008151267,0.33433725500086386,0.33234048803117755,0.38218269234242747,0.39825754496772964,0.47436253275710616,0.0
39,305 days,0.09642023931893565,0.3105160854431468,0.3038885507498694,0.3465108375197029,0.3836980109123293,0.42431897538183344,0.0
40,312 days,0.07353125836089007,0.27116647720706566,0.2593898229602994,0.29316410728224246,0.29558068035952306,0.35060126419687304,0.0
41,319 days,0.05203349160925318,0.22810850841047814,0.21262784502957954,0.2365314081514056,0.21989827085410693,0.2748417126266023,0.2
