,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.004390049092107158,0.06625744555977961,0.0649252955289844,0.06696650786279643,0.05866419477251953,0.0693819335086196,1.0
1,39 days,0.004688143310873814,0.06847001760532719,0.06730634989072051,0.06918071713899986,0.06973524115353671,0.07174546346366212,1.0
2,46 days,0.004587300175039987,0.067729610769884,0.06664145050454816,0.06834502956693794,0.06973524115353671,0.07084119509662232,1.0
3,53 days,0.004150420086523014,0.06442375405487492,0.06380631772472034,0.06540981518680841,0.06973524115353671,0.06766049577876176,1.0
4,60 days,0.004611993725767602,0.06791166119134182,0.06755654749324898,0.06890391614074257,0.07137706789613577,0.0713872191816034,1.0
5,67 days,0.0050135826457203166,0.07080665678960077,0.07078210522913542,0.07197296123677123,0.07137706789613577,0.07466154130905998,1.0
6,74 days,0.004844777392968819,0.06960443515300457,0.06948995187912614,0.07069528565787613,0.07137706789613577,0.07329440486711948,1.0
7,81 days,0.004352629134055666,0.06597445819448361,0.06568408077954783,0.06698544913637847,0.07136506360814916,0.06932706867837446,1.0
8,88 days,0.004440185120581785,0.06663471408043847,0.06629644072901224,0.06753458988143692,0.07136506360814916,0.06991845017968437,1.0
9,95 days,0.004768306273438491,0.06905292371390578,0.06844689589545387,0.06965729166648064,0.07136506360814916,0.07221563610578557,1.0
10,102 days,0.004254689262596116,0.06522797913929355,0.06413297413220363,0.06561722423883587,0.06334686325906126,0.06791608175215132,1.0
11,109 days,0.004211645996850608,0.06489719560081628,0.06378137071712049,0.06547950455223779,0.06265826482607087,0.06776925745210599,1.0
12,116 days,0.004745559867968502,0.0688880241258849,0.06786616847494445,0.06958422458361474,0.07412277162142807,0.07216339352215792,1.0
13,123 days,0.004973279416990962,0.07052148195401854,0.0693500466101696,0.0711332203116832,0.07722049083721816,0.07384066385768343,1.0
14,130 days,0.004985777005098602,0.07061003473373031,0.06942638354016423,0.07130011604665765,0.07722049083721816,0.07402235719836384,1.0
15,137 days,0.005576071780452176,0.07467309944318755,0.07427537116533048,0.07620814394708157,0.07722049083721816,0.07925739956680855,1.0
16,144 days,0.006332441294779669,0.07957663787054382,0.07943900501242816,0.08153123262785757,0.0818677502617705,0.08500940091041514,1.0
17,151 days,0.006947853774148681,0.0833537868014926,0.08307391563249526,0.08569807904958066,0.08358934783830338,0.08956704053984743,1.0
18,158 days,0.0074599551832515145,0.08637103208397776,0.08599230827640887,0.08958123209798244,0.08927370822995088,0.09383191086763423,1.0
19,165 days,0.008079295039877964,0.08988489884223025,0.08941050923370626,0.094375434186417,0.09805472294583349,0.09911959756979209,1.0
20,172 days,0.009389604878837216,0.09689997357500783,0.09661073601302773,0.10333999231395932,0.10128351550377941,0.10903433592423892,1.0
21,179 days,0.011697432816736618,0.10815467080406939,0.10692056338141613,0.11615301517800874,0.10756035828047619,0.1235596621087458,1.0
22,186 days,0.014656013095489882,0.12106202168925596,0.11888415789537335,0.13186022440257245,0.1205276566097566,0.14167626870745836,0.8
23,193 days,0.020090562769913556,0.14174118233566968,0.13793227810345804,0.15587522776845214,0.15333882255019798,0.17012049394105971,0.6000000000000001
24,200 days,0.02836476443751169,0.16841842071908789,0.16335900958299066,0.18776555225097574,0.17659076906865198,0.20901617070576703,0.4
25,207 days,0.03788809742235463,0.19464865122151406,0.1903442429678797,0.2233079943807896,0.22135853233317804,0.2534662941799093,0.2
26,214 days,0.05169533842427203,0.22736608899365804,0.2221331725727723,0.26508050066305244,0.26701198069309423,0.30871254331045805,0.0
27,221 days,0.07246259884235608,0.26918877919102807,0.26281239641438076,0.3153336072511056,0.2982398672588257,0.3788332876619841,0.0
28,228 days,0.093479624371751,0.3057443774981823,0.29993459214910195,0.36290103237870197,0.3622013539615123,0.44826113943918544,0.0
29,235 days,0.11254490316159155,0.3354771276280867,0.3312373388723193,0.4044999215951293,0.42785630200891794,0.5112230867704635,0.0
30,242 days,0.12981532966597592,0.3602989448582606,0.358833901682479,0.4408930111092428,0.45919565797115963,0.5675084729766733,0.0
31,249 days,0.1409622043626174,0.3754493366123016,0.37532916537154026,0.4646410166976186,0.47500642677523097,0.6056898944673581,0.0
32,256 days,0.14454811194379924,0.3801948341887344,0.38018682138537324,0.4768780348153605,0.4802053148293931,0.6262957565243326,0.0
33,263 days,0.1524198766853967,0.39040988292485207,0.39001532956383916,0.4900208747381282,0.48094138190339136,0.6494261571654467,0.0
34,270 days,0.15951696161707066,0.3993957456171393,0.39878349072154085,0.5020013860519125,0.4890413925976273,0.6708749436535355,0.0
35,277 days,0.16910674500503792,0.4112259050753465,0.41044813345607717,0.5151582446659668,0.5249098575849984,0.6946904471223995,0.0
36,284 days,0.16884018815469604,0.4109016769918274,0.4100957671823984,0.5185177985808785,0.5249098575849984,0.7005791782390572,0.0
37,291 days,0.16132810954989166,0.4016567060935142,0.399508662504214,0.5071386327433106,0.5249098575849984,0.6813654292904152,0.0
38,298 days,0.1450152337279094,0.38080865763255617,0.3774583482944985,0.47918613042817504,0.49773915147795056,0.634426927753667,0.0
39,305 days,0.11908394942920988,0.3450854233797914,0.33789521129022,0.42741588377655326,0.43214556340978755,0.5524384342332846,0.0
40,312 days,0.08385797735418667,0.2895824189314446,0.27643392884252455,0.3497843924035826,0.3851473460093205,0.43650699915775953,0.2
41,319 days,0.059314253534375624,0.24354517760443467,0.22901952446222718,0.2800392226102912,0.2760577500860431,0.3361782308428668,0.2
42,326 days,0.03887073796904901,0.1971566330840761,0.17828192145859267,0.2096918240806813,0.15783215103481138,0.24268213169378536,0.4
43,333 days,0.01922514228777159,0.13865475934049862,0.12117692903943873,0.1391234856479475,0.14901330251149328,0.15384810592698528,0.6000000000000001
44,340 days,0.008759378829868518,0.09359155319722244,0.07644034878026162,0.08506612145116349,0.08040857076173814,0.0909529640664539,0.8
45,347 days,0.005773838752502181,0.07598577993613134,0.06032454509502803,0.06463547931436711,0.055678940350829514,0.06813668450360878,0.8
46,354 days,0.002474003074230915,0.049739351365200926,0.04354720101239449,0.04673485670776979,0.055678940350829514,0.04820181194250281,1.0
47,361 days,0.0014195077354279921,0.037676355123976525,0.032061632359413374,0.03439038341259331,0.032305653845651594,0.035218948468242035,1.0
