,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.14932126182069433,0.38642109391270857,0.3841494074115276,0.9150328121175113,1.6587374245786637,0.0
1,39 days,0.20434093769106562,0.4520408584310334,0.4438413121437196,0.9142914010994511,1.658233901778173,0.0
2,46 days,0.24298616760280553,0.4929362713402266,0.4839574445418955,0.9125674408946534,1.6547340730938311,0.0
3,53 days,0.294066794478091,0.5422792587570457,0.5320200728280849,0.9125674408946534,1.6629599130441985,0.0
4,60 days,0.3209246481503596,0.5665021166336094,0.5615996379229475,0.9142914010994511,1.6787794931903341,0.0
5,67 days,0.3783695931860406,0.615117544202765,0.6125431108909898,0.9170213509559046,1.7073100225473636,0.0
6,74 days,0.3588342382831478,0.599027744168121,0.5953170279142135,0.9170213509559046,1.7010209630540991,0.0
7,81 days,0.37989736981161254,0.6163581506004545,0.6121907112396259,0.919069891268221,1.7054465113761033,0.0
8,88 days,0.4205095972439916,0.6484671134637373,0.6403203111020002,0.919069891268221,1.7089169018064077,0.0
9,95 days,0.4407771812370558,0.6639105220111033,0.6580300251003844,0.9278511999296877,1.716378595702005,0.0
10,102 days,0.37457417760391565,0.6120246544085587,0.5963990376299465,0.919069891268221,1.7059439630397408,0.0
11,109 days,0.33012694472993265,0.5745667452349924,0.5373453255477125,0.919069891268221,1.713632274317838,0.0
12,116 days,0.2471966392390456,0.49718873603395886,0.43833709969739143,0.9278511999296877,1.731702123252627,0.0
13,123 days,0.12379782924427796,0.35184915694694785,0.3004769864184922,0.9278511999296877,1.7561981560658404,0.2
14,130 days,0.04779764242485921,0.2186267193754213,0.17872870210825592,0.9178708582768849,1.7124340556348276,0.4
15,137 days,0.01845765550561053,0.13585895445501753,0.10218611831049508,0.9163492264138364,1.4566424862769918,0.6000000000000001
16,144 days,0.00799801460157526,0.08943161969670045,0.05679410514500158,0.9448321361910303,1.5183972697368584,0.8
17,151 days,0.0021304467903866635,0.0461567632139285,0.022687225782583254,0.9668505658571114,1.5602240657955058,1.0
18,158 days,1.3459349288140753e-05,0.003668698582350525,0.0024855737264217574,inf,1.5858927120125086,1.0
19,165 days,4.032059488120448e-06,0.0020079988765237017,0.0016545016733559071,inf,1.6834917279444894,1.0
20,172 days,1.1458693262557119e-05,0.0033850691665839147,0.0028144372075699234,inf,2.0,1.0
21,179 days,2.0078369506437173e-05,0.004480889365565409,0.003825575211977025,inf,2.0,1.0
22,186 days,2.4729823349798327e-05,0.00497290894243986,0.00465165696082366,inf,2.0,1.0
23,193 days,2.6244898465470715e-05,0.005122977499996532,0.004941217305479141,inf,2.0,1.0
24,200 days,2.4823722894780118e-05,0.004982341105823658,0.004704544161363129,inf,2.0,1.0
25,207 days,1.879382866570896e-05,0.004335184963263847,0.004016275584502895,inf,2.0,1.0
26,214 days,1.5086094639901966e-05,0.00388408221332942,0.00370834364242219,inf,2.0,1.0
27,221 days,1.8950321184456113e-05,0.00435319666273603,0.00404586698656951,inf,2.0,1.0
28,228 days,3.196791470736115e-05,0.005654017572254366,0.005124210142143066,inf,2.0,1.0
29,235 days,4.899561789073614e-05,0.0069996869851969915,0.006549421455445962,inf,2.0,1.0
30,242 days,6.041756799303882e-05,0.007772873856755866,0.007619762164550378,inf,2.0,1.0
31,249 days,6.11208246901278e-05,0.007817980857620963,0.007684722732919239,inf,2.0,1.0
32,256 days,5.3524719508020944e-05,0.007316059014798947,0.006825424486958725,inf,2.0,1.0
33,263 days,4.0485921161133214e-05,0.0063628547964835105,0.005743899440849845,inf,2.0,1.0
34,270 days,2.48513819824681e-05,0.004985116045035271,0.004551453752070816,inf,2.0,1.0
35,277 days,1.4399664428600794e-05,0.003794688976530329,0.003639824725489434,inf,2.0,1.0
36,284 days,1.0566230050336808e-05,0.0032505738032440994,0.0032151854426282264,inf,2.0,1.0
37,291 days,1.329117798604667e-05,0.0036457067882711947,0.0036276869598345645,inf,2.0,1.0
38,298 days,1.6019922380889882e-05,0.004002489522895704,0.00395671157762871,inf,2.0,1.0
39,305 days,2.0530816642793843e-05,0.004531094419982201,0.004430614341810021,inf,2.0,1.0
40,312 days,2.188133255968716e-05,0.0046777486635867,0.004604309435360457,inf,2.0,1.0
41,319 days,2.0672257399724305e-05,0.004546675422737399,0.0043985226192616005,inf,2.0,1.0
42,326 days,1.7122024677420073e-05,0.004137876832074642,0.003735072360675624,inf,2.0,1.0
43,333 days,1.4731940861240332e-05,0.003838221054243793,0.003455172170146288,inf,2.0,1.0
44,340 days,2.0473970599107348e-05,0.004524817189578751,0.0038668850325226274,inf,2.0,1.0
45,347 days,6.3769705428622e-05,0.007985593617798367,0.006069482368493994,inf,2.0,1.0
46,354 days,0.0001398752340781104,0.011826886068535132,0.009516248218789169,inf,2.0,1.0
47,361 days,0.00021443787848845876,0.014643697568867596,0.01317988360211884,inf,2.0,1.0
