station     min  max  mean
MRSTC      0.00 0.68 0.22
N73W1675   0.00 0.24 0.10
N59W179    0.01 0.01 0.01
N59W167    0.00 0.67 0.15
PAENC      0.00 0.48 0.11
PAHPC      0.00 0.60 0.16
N75W160    0.04 0.55 0.16
N61W175    0.00 0.62 0.10
N77W150    0.04 0.62 0.18
N75W1375   0.02 0.58 0.15
N71W140    0.02 0.57 0.20
N73W1375   0.03 0.63 0.21
NRTBC      0.00 0.46 0.16
N68W170    0.00 0.35 0.12
N59W175    0.03 0.05 0.05
PASA20     0.00 0.70 0.23
N76W165    0.05 0.39 0.13
PASGC      0.00 0.00 0.00
STMSE      0.00 0.55 0.10
PASC10     0.00 0.37 0.10
N59W177    0.02 0.03 0.03
N638W1689  0.00 0.60 0.21
N75W140    0.03 0.65 0.18
NECP20     0.00 0.63 0.20
N7025W141  0.00 0.30 0.11
NRTS6      0.00 0.58 0.17
N597W165   0.00 0.73 0.20
N57W167    0.01 0.05 0.03
N70W1675   0.00 0.26 0.12
N75W1475   0.03 0.74 0.23
N74W160    0.02 0.54 0.16
N58W171    0.04 0.23 0.07
N75W150    0.03 0.73 0.23
N61W167    0.00 0.59 0.16
N58W163    0.00 0.44 0.09
ICYPC10    0.00 0.45 0.16
N74W1425   0.03 0.71 0.22
N72W160    0.00 0.36 0.13
PAUN10     0.00 0.44 0.18
PASNC      0.02 0.02 0.02
N68W1725   0.00 0.37 0.10
N71W1725   0.00 0.24 0.11
PASH20     0.00 0.51 0.19
N68W1675   0.00 0.41 0.15
N72W150    0.03 0.54 0.17
N74W170    0.00 0.24 0.11
N654W1715  0.00 0.70 0.22
N58W161    0.00 0.45 0.09
N67W170    0.00 0.43 0.15
N72W165    0.00 0.23 0.10
N71W145    0.00 0.52 0.18
N57W1717   0.01 0.01 0.01
N58W177    0.00 0.00 0.00
STMSW      0.00 0.53 0.08
DMPTC      0.00 0.26 0.09
PAUN20     0.00 0.47 0.18
NUNV20     0.00 0.64 0.17
PTTP10     0.01 0.25 0.09
BRST10     0.00 0.56 0.20
N75W170    0.02 0.31 0.11
FLPS10     0.00 0.01 0.00
N58W179    0.00 0.00 0.00
NRTS1      0.00 0.51 0.16
N714W1525  0.00 0.48 0.12
N628W1683  0.00 0.60 0.21
N55W165    0.00 0.00 0.00
FLPS20     0.00 0.00 0.00
N58W173    0.02 0.04 0.03
NRTS8      0.00 0.46 0.15
BRSTC      0.00 0.51 0.19
N77W155    0.06 0.66 0.21
N72W1525   0.01 0.58 0.15
N69W170    0.00 0.32 0.13
DMPT20     0.00 0.26 0.09
PADL20     0.00 0.65 0.16
PAPO10     0.00 0.41 0.15
PAWI20     0.01 0.31 0.13
N75W1575   0.06 0.62 0.18
PPIZ20     0.00 0.40 0.15
N69W1675   0.00 0.40 0.15
DIOM2      0.00 0.56 0.20
N75W1525   0.05 0.71 0.25
N58W169    0.05 0.34 0.09
STLISW     0.00 0.69 0.22
N60W171    0.00 0.55 0.11
N67W1675   0.00 0.47 0.17
PAEN10     0.00 0.48 0.11
PATCC      0.00 0.51 0.19
N56W165    0.00 0.00 0.00
N712W150   0.01 0.52 0.13
PTBRC      0.00 0.16 0.08
N77W145    0.03 0.55 0.14
N65W169    0.00 0.56 0.20
N56W169    0.00 0.00 0.00
PATG20     0.00 0.53 0.12
PPIZC      0.00 0.39 0.14
N71W165    0.00 0.31 0.15
N61W171    0.00 0.65 0.15
N77W170    0.03 0.53 0.16
PASN20     0.02 0.08 0.04
N57W175    0.00 0.00 0.00
N653W1704  0.00 0.57 0.18
N71W170    0.00 0.32 0.15
LNLA10     0.00 0.48 0.12
N72W1475   0.03 0.56 0.22
N61W177    0.00 0.52 0.08
N596W167   0.00 0.77 0.19
PTCR10     0.00 0.53 0.17
N59W173    0.00 0.34 0.05
PAMY10     0.00 0.58 0.17
N73W140    0.02 0.68 0.23
N75W145    0.03 0.72 0.22
N58W159    0.00 0.59 0.15
N73W1625   0.00 0.40 0.12
NRTS2      0.00 0.51 0.16
PASHC      0.00 0.49 0.18
N70W1725   0.00 0.27 0.11
PASAC      0.00 0.67 0.23
PABAC      0.00 0.30 0.10
NRTS4      0.00 0.52 0.18
NECPC      0.00 0.58 0.20
N612W173   0.00 0.67 0.12
N59W171    0.08 0.45 0.14
NUNV10     0.00 0.61 0.17
N74W1625   0.01 0.45 0.14
